text,label
"Lovers of the Arctic Circle, The (Los Amantes del Círculo Polar) (1998)",1
"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",1
"Joy Luck Club, The (1993)",1
Strawberry and Chocolate (Fresa y chocolate) (1993),1
Force of Evil (1948),1
A Clockwork Orange,0
Drunken Master (Zui quan) (1979),1
Alien,0
Medea,0
Dead I Well May Be (Dead Trilogy #1),0
The Alley (The Alley  #1),0
Wittgenstein's Poker: The Story of a Ten-Minute Argument Between Two Great Philosophers,0
Small Wonder,0
Cliffs Notes on Wright's Black Boy,0
The World Treasury of Physics  Astronomy & Mathematics from Albert Einstein to Stephen W. Hawking & from Annie Dillard to John Updike,0
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,0
La princesa prometida,0
Leather Jacket Love Story (1997),1
Faking It (Dempseys  #2),0
Jefferson in Paris (1995),1
Leave It to Beaver (1997),1
An Acceptable Time (Time Quintet  #5),0
The Hour Before Dark,0
Dime-Store Alchemy: The Art of Joseph Cornell,0
Dragonheart (1996),1
The Pen Is Mightier Than The Sword (The Amazing Days of Abby Hayes  #6),0
"Good Morning, Vietnam (1987)",1
Teaching with the Brain in Mind,0
Eva Luna,0
We'll Meet Again,0
Dudley Do-Right (1999),1
It Takes Two (1995),1
Tall Tale (1994),1
"Gambler, The (A Játékos) (1997)",1
Emotional Design: Why We Love (or Hate) Everyday Things,0
Legends of the Fall (1994),1
My Man Godfrey (1957),1
The Sea of Monsters (Percy Jackson and the Olympians  #2),0
Cinderella (1950),1
Lives of Girls and Women,0
Ghost Hunter (Ghost Hunters  #3),0
Puppet Master III: Toulon's Revenge (1991),1
"Fire Within, The (Le Feu Follet) (1963)",1
"Grandview, U.S.A. (1984)",1
To Kill a Mockingbird,0
"Apple Dumpling Gang, The (1975)",1
Amanda's Story (The Girls of Lighthouse Lane #4),0
"Pest, The (1997)",1
My Left Foot (1989),1
My Own Private Idaho (1991),1
Bakkhai,0
Possession (1981),1
"Palm Beach Story, The (1942)",1
Creepers,0
"Hate (Haine, La) (1995)",1
Answered Prayers,0
The Stories of Vladimir Nabokov,0
A Light in the Attic,0
Madeline (1998),1
Two Family House (2000),1
Sonic Outlaws (1995),1
Platoon (1986),1
My Cousin Vinny (1992),1
Terminal Velocity (1994),1
Dream Country (The Sandman  #3),0
High Noon (1952),1
Sideways Stories from Wayside School (Wayside School #1),0
As You Like It,0
Remember the Titans (2000),1
Romper Stomper (1992),1
Poetry and Prose of Alexander Pope (Riverside Editions),0
What Dreams May Come,0
"Cup, The (Phörpa) (1999)",1
Hedd Wyn (1992),1
52 Pick-Up (1986),1
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,0
Weekend at Bernie's (1989),1
ヒカルの碁 7、若獅子戦,0
Double Indemnity (1944),1
Titanic (1997),1
Desperation / The Regulators: Box Set,0
Warriors of Virtue (1997),1
Sailing Alone Around the Room: New and Selected Poems,0
Aquatic Turtles: Sliders  Cooters  Painted  and Map Turtles,0
Friday the 13th (1980),1
Rosewood (1997),1
Metropolis (1926),1
Savage Stone Age Sticker Book (Horrible Histories),0
Little Women,0
Prom Night (1980),1
Jailbird,0
Industry and Empire: The Birth of the Industrial Revolution,0
Frankenstein,0
Man on the Moon (1999),1
Rope (1948),1
The Lust Lizard of Melancholy Cove (Pine Cove  #2),0
"Jar, The (Khomreh) (1992)",1
Three Days of the Condor (1975),1
Home Alone 2: Lost in New York (1992),1
Power vs. Force,0
Ilium (Ilium  #1),0
Bedlam's Bard (Bedlam Bard  #1-2),0
"Pagemaster, The (1994)",1
"Emerald Forest, The (1985)",1
Lawnmower Man 2: Beyond Cyberspace (1996),1
The Middle Sea: A History of the Mediterranean,0
Moby Dick: or The White Whale (Oxford Illustrated Classics),0
Magic Carpet Ride: The Autobiography of John Kay and Steppenwolf,0
Bay of Blood (Reazione a catena) (1971),1
Haunted,0
"Love Bug, The (1969)",1
A False Mirror (Inspector Ian Rutledge  #9),0
"Sound of Music, The (1965)",1
The Ring  Volume 1,0
Auntie Mame (1958),1
In the Shadow of the Warlock Lord (The Sword of Shannara  #1),0
The Ravenscar Dynasty (Ravenscar  #1),0
Night Shift,0
Success,0
Men With Guns (1997),1
Inherit the Wind (1960),1
Men Don't Leave (1990),1
"Joyriders, The (1999)",1
Cocolat: Extraordinary Chocolate Desserts,0
Minion (Vampire Huntress  #1),0
¿Quién te lo ha contado?,0
Parallel Worlds: A Journey through Creation  Higher Dimensions  and the Future of the Cosmos,0
Jackie Chan's First Strike (1996),1
White Men Can't Jump (1992),1
A Separate War and Other Stories,0
Feeding the Hungry Heart: The Experience of Compulsive Eating,0
The Works and Days/Theogony,0
Nigella Bites: From Family Meals to Elegant Dinners--Easy  Delectable Recipes for Any Occasion,0
When Red Is Black (Inspector Chen Cao #3),0
Le prophète,0
Maurice (1987),1
Born to Win (1971),1
Death Wish II (1982),1
The Scarlet Letter and Other Writings,0
"Rescuers Down Under, The (1990)",1
'Salem's Lot,0
The Part-Time Wife (The Secret Lives of Society Wives  #6),0
The Complete Fairy Tales of The Brothers Grimm,0
The Alienist (Dr. Laszlo Kreizler  #1),0
Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991),1
Home Fries (1998),1
Presidential Assassins (History Makers),0
The J.R.R. Tolkien Companion and Guide  Volume 1: Chronology,0
Geek Love,0
"Alan Smithee Film: Burn Hollywood Burn, An (1997)",1
Tess of the Storm Country (1922),1
Escape on Venus (Venus  #4),0
The Star-Spangled Banner (Symbols of America),0
Escape to Witch Mountain (1975),1
"Sweet Hereafter, The (1997)",1
Insomnia (1997),1
Poison (1991),1
For One More Day,0
Topaz (1969),1
Where's Marlowe? (1999),1
Twin Falls Idaho (1999),1
Master of the Night (Mageverse #1),0
The Call of Earth (Homecoming  #2),0
"Affair of Love, An (Une Liaison Pornographique) (1999)",1
The Secret Life of Bees,0
"Grifters, The (1990)",1
Wayne's World 2 (1993),1
Star Wars: Rebellion  Vol. 1: My Brother  My Enemy,0
Pete's Dragon (1977),1
Disclosure (1994),1
Flirt (1995),1
Project Moon Base (1953),1
The Bush Agenda: Invading the World  One Economy at a Time,0
Live and Let Die (1973),1
Body For Life: 12 Weeks to Mental and Physical Strength,0
Bleach  Volume 10,0
Dune (1984),1
Wide Sargasso Sea: A Reader's Guide to Essential Criticism,0
Bent (1997),1
Dances with Wolves (1990),1
"Insider, The (1999)",1
Bloodsport (1988),1
Laughable Loves,0
"Last of the Mohicans, The (1992)",1
Voyage of Slaves (Flying Dutchman  #3),0
Medicine Man (1992),1
First Snow on Fuji,0
Girl (Girl  #1),0
Kolya (1996),1
Holiday Inn (1942),1
Exotica (1994),1
Aristotle's Ethics (SparkNotes Literature Guides),0
Zora Neale Hurston: Critical Perspectives Past And Present (Amistad Literary Series),0
Mrs. Miniver (1942),1
"Decline of Western Civilization Part II: The Metal Years, The (1988)",1
To Battle the Gods (Jalav  Amazon Warrior  #5),0
Mid-Flinx (Pip & Flinx #7),0
It's Not about the Bike: My Journey Back to Life,0
Regret to Inform (1998),1
The Complete Brothers Grimm Fairy Tales,0
Mr. Holland's Opus (1995),1
Anne of the Island and Tales of Avonlea,0
War and Peace,0
Le Divorce,0
"General's Daughter, The (1999)",1
Inside (1996),1
Ran (1985),1
Savage Inequalities: Children in America's Schools,0
Taran Wanderer (The Chronicles of Prydain  #4),0
Finders Keepers: Selected Prose  1971-2001,0
Carried Away (1996),1
"Spiral Staircase, The (1946)",1
Go Fish (1994),1
Carnosaur 3: Primal Species (1996),1
"Terrorist, The (Malli) (1998)",1
White Teeth,0
The Elfstones of Shannara (The Original Shannara Trilogy #2),0
Haussmann  or the Distinction,0
Kazaam (1996),1
Poison Ivy: New Seduction (1997),1
Gentleman's Agreement (1947),1
Tom Jones,0
What Life Was Like Amid Splendor and Intrigue: Byzantine Empire  AD 330-1453,0
"White Balloon, The (Badkonake Sefid ) (1995)",1
Dr. Jekyll and Mr. Hyde (Bullseye Chillers),0
Stripes (1981),1
Shadow: Five Presidents and the Legacy of Watergate,0
Surviving the Game (1994),1
Aimée & Jaguar (1999),1
Touki Bouki (Journey of the Hyena) (1973),1
Eat This Book: Cooking with Global Fresh Flavors,0
Meteor (1979),1
Evolution and the Theory of Games,0
The Bride Finder (St. Leger  #1),0
The Wife (Kristin Lavransdatter  #2),0
Solo (1996),1
Word Freak: Heartbreak  Triumph  Genius  and Obsession in the World of Competitive Scrabble Players,0
Seize the Night (Moonlight Bay  #2),0
Alice In Wonderland,0
Go Now (1995),1
The New Testament,0
"Beautician and the Beast, The (1997)",1
"Few Good Men, A (1992)",1
Multiculturalism,0
Five T'ang Poets,0
Eragon: Prima Official Game Guide,0
The Black Cauldron (The Chronicles of Prydain  #2),0
Mrs. Doubtfire (1993),1
Outsiders  Vol. 5: The Good Fight,0
Nothing Lasts Forever,0
French Kiss (1995),1
Attack of the Killer Tomatoes! (1980),1
Mutiny on the Bounty (1935),1
Winnie the Pooh and the Blustery Day (1968),1
Jeffrey (1995),1
The Hope (The Hope and the Glory  #1),0
Hero (1992),1
How Tom Beat Captain Najork and His Hired Sportsmen (Captain Najork #1),0
Telling You (1998),1
"Since ""Silent Spring""",0
Jimmy Stewart: A Biography,0
Supernova (2000),1
The Sea Hunters II (The Sea Hunters  #2),0
Unhook the Stars (1996),1
"Cry in the Dark, A (1988)",1
The Year of the Death of Ricardo Reis,0
The Elephant War,0
Nova Express (The Nova Trilogy  #3),0
Scandalous Risks,0
Backdraft (1991),1
Zen in the Art of Writing: Essays on Creativity,0
Merde Encore!: More of the Real French You Were Never Taught at School,0
A People's History of the United States: The Civil War to the Present,0
Last Rights (Francis Hancock #1),0
Gods and Monsters (1998),1
Four Weddings and a Funeral (1994),1
Myths of Light: Eastern Metaphors of the Eternal (Collected Work),0
Goddess of the Rose (Goddess Summoning  #4),0
Thirteen Moons on Turtle's Back,0
The Good Ghouls' Guide to Getting Even (Beth Frasier #1),0
Talk to the Hand: The Utter Bloody Rudeness of Everyday Life,0
Zone 39 (1997),1
The Last Shot: City Streets  Basketball Dreams,0
The Serial Killers Club,0
Princess Caraboo (1994),1
"Fugitive, The (1993)",1
Digging to China (1998),1
Young Sherlock Holmes (1985),1
"Odd Couple, The (1968)",1
Bedknobs and Broomsticks (1971),1
The Black Echo (Harry Bosch  #1; Harry Bosch Universe  #1),0
Now and on Earth,0
Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),0
"Great Mouse Detective, The (1986)",1
Jessica's Bad Idea (Sweet Valley Twins and Friends  #31),0
The Black Dahlia Files: The Mob  the Mogul  and the Murder That Transfixed Los Angeles,0
1848: The Revolution of the Intellectuals,0
Return to the Planet of the Apes:  Visions from Nowhere,0
Voyage to the Bottom of the Sea (1961),1
The Witches of Worm,0
Criminal Lovers (Les Amants Criminels) (1999),1
Mimic (1997),1
"Omega Man, The (1971)",1
"King in New York, A (1957)",1
Having a Mary Heart in a Martha World: Finding Intimacy with God in the Busyness of Life,0
The Birth of Tragedy,0
Blink: The Power of Thinking Without Thinking,0
By the Sword (Valdemar),0
Jamaica Inn (1939),1
"House of the Spirits, The (1993)",1
"Last Days of Disco, The (1998)",1
In the Shadow of Young Girls in Flower (In Search of Lost Time  #2),0
Love Beyond Reason,0
Time for Revolution,0
Trial and Error (1997),1
The Prime of Miss Jean Brodie / The Girls of Slender Means / The Driver's Seat / The Only Problem,0
Melville and the politics of identity: From *King Lear* to *Moby-Dick*,0
Crimes of the Heart (1986),1
Halloween: The Curse of Michael Myers (1995),1
Going Potty,0
All Quiet on the Western Front (1930),1
1919 (U.S.A.  #2),0
"Broken Hearts Club, The (2000)",1
Harry Potter y el misterio del príncipe (Harry Potter  #6),0
焼きたて!!ジャぱん 1,0
"Eye of Vichy, The (Oeil de Vichy, L') (1993)",1
Puppet Master II (1990),1
Jane's Warlord (Warlord #1),0
Moonraker (James Bond  #3),0
Days of Thunder (1990),1
The Actor in You: Sixteen Simple Steps to Understanding the Art of Acting,0
Freak Show: Presenting Human Oddities for Amusement and Profit,0
"Man Without a Face, The (1993)",1
Moods,0
The Queen's Necklace,0
Selected Non-Fictions,0
24-hour Woman (1998),1
"Slumber Party Massacre III, The (1990)",1
"Last Detail, The (1973)",1
Run Lola Run (Lola rennt) (1998),1
Torn Curtain (1966),1
Peter Pan (1953),1
Schizopolis (1996),1
One Flew Over the Cuckoo's Nest (1975),1
Frankenstein Meets the Wolf Man (1943),1
Farinelli: il castrato (1994),1
Sounds  Feelings  Thoughts:  Seventy Poems by Wislawa Szymborska,0
1968: War and Democracy,0
Legacy of the Dead (Inspector Ian Rutledge  #4),0
Hunting the Hunter (On the Run  #6),0
Yakitate!! Japan  Volume 1,0
"Flying Saucer, The (1950)",1
Final Destination (2000),1
Five Children and It,0
Son in Law (1993),1
The Catcher in the Rye - Barron's Book Notes,0
"Big Bang Theory, The (1994)",1
Mad Love (1995),1
Daughter of Dr. Jeckyll (1957),1
火盃的考驗 (哈利波特  #4),0
Plato in 90 Minutes,0
"Walking Dead, The (1995)",1
The Metaphysics of Star Trek,0
Frances (1982),1
"Van, The (1996)",1
Breakdown (1997),1
Animal Farm,0
"Suburbans, The (1999)",1
Bad Haircut: Stories of the Seventies,0
"Player's Club, The (1998)",1
Sunstorm (A Time Odyssey  #2),0
Pet Sematary II (1992),1
Animals in Translation: Using the Mysteries of Autism to Decode Animal Behavior,0
Whatever Happened to Aunt Alice? (1969),1
Social Intelligence: The New Science of Human Relationships,0
Radioland Murders (1994),1
P.G. Wodehouse in His Own Words,0
Wild Ducks Flying Backward,0
"Astronaut's Wife, The (1999)",1
Lord of the Flies (1963),1
Falling Angel,0
Baby Names for Dummies,0
Five Easy Pieces (1970),1
Dirty Work (1998),1
Down by Law (1986),1
"Cérémonie, La (1995)",1
Seven Chances (1925),1
A Lady At Last (deWarenne Dynasty  #7),0
Class Reunion (1982),1
Egyptian Myth: A Very Short Introduction,0
8MM (1999),1
Avalanche (1978),1
To America with Love: Letters from the Underground,0
Muerte Blanca,0
Charles Dickens: Four Novels:  Great Expectations  Hard Times  A Christmas Carol  and A Tale of Two Cities,0
The Confusions of Young Törless,0
Winter Days in the Big Woods,0
Teach Your Child to Read in 100 Easy Lessons,0
Interrupted Music: The Making of Tolkien's Mythology,0
Metamorphoses,0
Halfmoon (Paul Bowles - Halbmond) (1995),1
The Guide to Hollywood and Beverly Hills,0
Entrevista con el vampiro (Crónicas vampíricas  #1),0
The Man With a Load of Mischief (Richard Jury  #1),0
Poltergeist II: The Other Side (1986),1
Babe (1995),1
Serpico (1973),1
Bad (Fearless  #13),0
And Then There Were None,0
Turtle Diary (1985),1
Real Genius (1985),1
What Did the Constitution Mean to Early Americans? (Historians at Work),0
Make Way for McCloskey,0
"Hi-Lo Country, The (1998)",1
Bad Lieutenant (1992),1
"Crow, The (1994)",1
From Russia with Love (1963),1
Heartbreak Ridge (1986),1
Volunteers (1985),1
Dead Presidents (1995),1
Wings of Desire (Der Himmel über Berlin) (1987),1
The Plague,0
Cape Fear (1962),1
Victoria Line  Central Line,0
Bound In Blood: The Erotic Journey of a Vampire,0
Mrs. Winterbourne (1996),1
A Kiss Remembered,0
"Cure, The (1995)",1
Party Girl (1995),1
This Is Push: New Stories from the Edge,0
"Stand Back  Said the Elephant  ""I'm Going to Sneeze!""",0
How Green Was My Valley,0
Paws Before Dying (A Dog Lover's Mystery  #4),0
Bel Canto,0
"Fear, The (1995)",1
The Spy Who Barked (Adam Sharp #1),0
Little Butterfly  Volume 03,0
Jules and Jim (Jules et Jim) (1961),1
The Interpreter,0
The Complete Stories,0
Black Sheep (1996),1
"Big Trees, The (1952)",1
Steel (1997),1
Moonlight Murder (1936),1
That Darn Cat! (1965),1
Big Night (1996),1
"Hunchback of Notre Dame, The (1996)",1
Star Wars: Episode IV - A New Hope (1977),1
The Faerie Queene,0
Tomorrow's Promise,0
Going Native,0
The Wild Trees: A Story of Passion and Daring,0
Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,0
Burnt Offerings (1976),1
Raiders of the Lost Ark (1981),1
The Annotated Charlotte's Web,0
A Short History of Decay,0
The Sound and the Fury  As I Lay Dying  Sanctuary  Intruder in the Dust,0
Last Night (1998),1
"African Queen, The (1951)",1
Fury,0
Drum Calls (Drums of Chaos  #2),0
The Man Who Watched Trains Go By,0
Absolutely Normal Chaos,0
Forbidden Planet (1956),1
eBay for Dummies,0
"Man of No Importance, A (1994)",1
Home for the Holidays (1995),1
From Dusk Till Dawn (1996),1
CliffsNotes on Tolstoy's Anna Karenina,0
Gulliver's Travels,0
Bitten (Otherworld  #1),0
"Mystery, Alaska (1999)",1
Even Dwarfs Started Small (Auch Zwerge haben klein angefangen) (1971),1
Kansas City (1996),1
Time Tracers (1995),1
Euripides: Medea,0
Fear of a Black Hat (1993),1
The Last Joy,0
Arrows of the Queen (Heralds of Valdemar  #1),0
Suffering and the Sovereignty of God,0
Mansfield Park,0
One Fine Day (1996),1
The Drifting Classroom  Vol. 6 (The Drifting Classroom),0
Running Scared (1986),1
"Zed & Two Noughts, A (1985)",1
Macao (1952),1
Money Train (1995),1
Tai-Pan (Asian Saga  #2),0
Licence to Kill (1989),1
Kare First Love  Vol. 10 (Kare First Love  #10),0
Inspector Gadget (1999),1
Death of a Salesman,0
The Art of the Hunchback of Notre Dame,0
"Cradle Will Rock, The (1999)",1
Why Orwell Matters,0
Stage Fright (1950),1
Sgt. Frog  Vol. 13 (Sgt. Frog  #13),0
"Long Kiss Goodnight, The (1996)",1
I'll Do Anything (1994),1
The Complete Pelican Shakespeare,0
Relative Fear (1994),1
"Talented Mr. Ripley, The (1999)",1
Cold Mountain,0
"Big Kahuna, The (2000)",1
The Communist Manifesto,0
Breakfast at Tiffany's: A Short Novel and Three Stories,0
The Reverse of the Medal (Aubrey & Maturin #11),0
Father of Frankenstein,0
Encuentro en el Ártico (Artemis Fowl  #2),0
The Case of the Terrified Typist (Perry Mason #49),0
Gary Grizzle,0
First Meetings: In the Enderverse,0
Berlin Blues,0
"Month by the Lake, A (1995)",1
Twin Town (1997),1
Double Team (1997),1
Brown V. Board of Education: A Civil Rights Milestone and Its Troubled Legacy,0
The Home Front,0
Inés of My Soul,0
Who's That Girl? (1987),1
"Exorcist, The (1973)",1
Topsy-Turvy (1999),1
Very Far Away from Anywhere Else,0
Courage Under Fire (1996),1
Eight Men Out: The Black Sox and the 1919 World Series,0
Face/Off (1997),1
"Sting, The (1973)",1
The Collected Poems of Wilfred Owen,0
An Instance of the Fingerpost,0
Break In (Kit Fielding  #1),0
Swingers (1996),1
Collected Tales  Sketches  Speeches  & Essays 1852–1890,0
Midnight's Children,0
In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency #6),0
Bradbury Stories: 100 of His Most Celebrated Tales,0
The Facts in the Case of the Departure of Miss Finch,0
Just the Ticket (1999),1
"Fighting Seabees, The (1944)",1
Six of a Kind (1934),1
Advanced Statistics Demystified,0
Anaconda (1997),1
Wonder Boys (2000),1
Problems of Dostoevsky's Poetics,0
A Portrait of the Artist as a Young Man,0
Shopaholic & Baby (Shopaholic  #5),0
Inferno,0
The First Philosophers: The Presocratics and Sophists,0
Love in the Time of Cholera,0
The Pursuit of History,0
Girls Town (1996),1
Rambo: First Blood Part II (1985),1
Steel Magnolias (1989),1
Coyote Ugly (2000),1
Breathless (1983),1
Spy Hard (1996),1
"Toxic Avenger Part III: The Last Temptation of Toxie, The (1989)",1
Leading with a Limp: Turning Your Struggles Into Strengths,0
East-West (Est-ouest) (1999),1
Nekromantik (1987),1
For the Love of Benji (1977),1
Guardian Angel (1994),1
Circle of Friends,0
Houseguest (1994),1
Journal of a Novel: The East of Eden Letters,0
Analyze This (1999),1
All Tomorrow's Parties (Bridge  #3),0
Four Rooms (1995),1
Candide and Other Stories (World's Classics),0
My Dirty Thirties: Romantic Hedonism,0
"Funhouse, The (1981)",1
The Quiet American,0
Leonardo da Vinci: Obra pictorica completa y obra grafica,0
Holy Cow: An Indian Adventure,0
Amarse con los ojos abiertos,0
Only Angels Have Wings (1939),1
This Rough Magic,0
Strip Tease,0
The Angel Experiment (Maximum Ride  #1),0
National Lampoon's Senior Trip (1995),1
Ride of the Second Horseman: The Birth and Death of War,0
Jojo's Bizarre Adventure  Tome 4: Dans la salle du dragon à deux têtes (Phantom Blood  #4),0
The Poet (Jack McEvoy  #1; Harry Bosch Universe  #5),0
Cry  the Beloved Country,0
"Taking of Pelham One Two Three, The (1974)",1
Close Range,0
Bevor es Nacht wird. Ein Leben in Havanna,0
Someone to Watch Over Me (1987),1
Lasher (Lives of the Mayfair Witches  #2),0
The Boys of the Archangel Raphael: A Youth Confraternity in Florence  1411-1785,0
The Catswold Portal,0
Let Down Your Hair,0
Bella y oscura,0
FairyTale: A True Story (1997),1
The Picture of Dorian Gray,0
King Kong (1976),1
Vinyl Cafe Coast to Coast Story Service,0
Picnic (1955),1
Gone with the Wind (1939),1
Lead Like Jesus: Lessons from the Greatest Leadership Role Model of All Time,0
Battling Butler (1926),1
Cyclops / Alcestis / Medea,0
Communion (1989),1
"Stupids, The (1996)",1
The Subtle Knife (His Dark Materials  #2),0
The Unexpected Guest: A Play In Two Acts,0
Snake Eyes (CSI: Crime Scene Investigation  #8),0
Groove (2000),1
Dangerous Game (1993),1
Would I Lie to You (Gossip Girl  #10),0
The Edge of Honor,0
Why Did the Soviet Union Collapse?: Understanding Historical Change,0
"Corruptor, The (1999)",1
"Damsel in Distress, A (1937)",1
The Rescue,0
What the Corpse Revealed,0
Master Ninja I (1984),1
Wallace & Gromit: The Best of Aardman Animation (1996),1
Carpool (1996),1
Ulysses S. Grant,0
"Secret Agent, The (1996)",1
Soylent Green (1973),1
Annals of the Former World,0
Magician: Apprentice (The Riftwar Saga  #1),0
Malice (1993),1
The Right Stuff,0
Three Wishes (1995),1
Jonah's Gourd Vine,0
Leonardo's Swans,0
"Cement Garden, The (1993)",1
American Flyers (1985),1
"Daytrippers, The (1996)",1
Doctor Faustus,0
Coming Apart (1969),1
The Curious Incident of the Dog In the Night-time,0
Lawn Dogs (1997),1
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,0
Light (Kefahuchi Tract  #1),0
Mercury Rising (1998),1
Blade (1998),1
Dead Sleep,0
Higher Learning (1995),1
U.S. Marshalls (1998),1
River Out of Eden: A Darwinian View of Life,0
When Night Is Falling (1995),1
Mission: Impossible (1996),1
Saint Joan/Major Barbara/Androcles and the Lion,0
Love & Human Remains (1993),1
Running Free (2000),1
Knowledge And Decisions,0
Men Are Like Waffles  Women Are Like Spaghetti,0
Hard Core Logo (1996),1
101 Dalmatians (1996),1
Les vacances de Rachel (Walsh Family  #2),0
Vermont Is For Lovers (1992),1
G.I. Jane (1997),1
Vampire in Brooklyn (1995),1
Freejack (1992),1
Australia,0
The Dark Side Of Genius: The Life Of Alfred Hitchcock,0
The Damned (Vampire Huntress  #6),0
Stargirl LitPlans on CD,0
Hideaway,0
Carnet de Voyage,0
Road Trip USA: Cross-Country Adventures on America's Two-Lane Highways,0
The Valley of Horses (Earth's Children  #2),0
March of the Wooden Soldiers (a.k.a. Laurel & Hardy in Toyland) (1934),1
World War Z: An Oral History of the Zombie War,0
Writings and Selected Narratives of the Exploration and Settlement of Virginia,0
Catwalk (1995),1
The Risk of Darkness (Simon Serrailler  #3),0
The Secret School,0
If Beale Street Could Talk,0
A Hard Day's Write: The Stories Behind Every Beatles Song,0
Nueba Yol (1995),1
Black Light (Bob Lee Swagger  #2),0
Snow Flower and the Secret Fan,0
"War at Home, The (1996)",1
Crucial Conversations: Tools for Talking When Stakes Are High,0
Divine By Choice (Partholon  #2),0
Celebrity (1998),1
You Know You Love Me (Gossip Girl  #2),0
The Wakefields of Sweet Valley (Sweet Valley High Magna Editions #1),0
Married to the Mob (1988),1
The Mothman Prophecies,0
The Use and Abuse of Biology: An Anthropological Critique of Sociobiology,0
"Mole People, The (1956)",1
Much Ado about Nothing,0
Winter of Magic's Return,0
Absolutely Mahvelous,0
Boys (1996),1
Anna Karenina,0
The Erotic Phenomenon,0
Big (1988),1
Free Willy 2: The Adventure Home (1995),1
Broken Arrow (1996),1
"Paper, The (1994)",1
Dance of the Gods (Circle Trilogy  #2),0
Jojo's Bizarre Adventure  Tome 14: Le Navire désert et le Singe (Stardust Crusaders  #2),0
"Goodbye, Lover (1999)",1
Nosferatu a Venezia (1986),1
Preface to the Phenomenology of Spirit,0
Wind Rider's Oath (War God  #3),0
Alice's Adventures in Wonderland,0
Like A Charm,0
Water for Elephants,0
Enemy of the State (1998),1
The Body in the Lighthouse,0
The Criss Cross,0
"Fisher King, The (1991)",1
East and West: The Making of a Rift in the Church from Apostolic Times until the Council of Florence (History of the Christian Church),0
The Walrus Was Paul: The Great Beatle Death Clues,0
Paris Was a Woman (1995),1
The Nixie's Song (Beyond the Spiderwick Chronicles  #1),0
"Big Chill, The (1983)",1
Planet of the Apes: The Fall,0
Gang Related (1997),1
My Tutor (1983),1
Collected Stories and Later Writings,0
Jumpin' Jack Flash (1986),1
Children of the Corn II: The Final Sacrifice (1993),1
Sellevision,0
"Effect of Gamma Rays on Man-in-the-Moon Marigolds, The (1972)",1
"Remains of the Day, The (1993)",1
"Frighteners, The (1996)",1
The Pilot's Wife,0
Tears of the Giraffe (No. 1 Ladies' Detective Agency  #2),0
"King of Masks, The (Bian Lian) (1996)",1
